#0:
>0:39.99,116.52;40.03,116.58;40.01,116.62;
#1:
>0:39.93,116.5;39.95,116.51;39.99,116.55;40.02,116.59;
#2:
>0:40.04,116.5;40.03,116.46;39.99,116.4;39.93,116.41;
#3:
>0:39.92,116.51;39.94,116.51;39.93,116.54;39.97,116.6;
#4:
>0:40.07,116.47;40.07,116.52;40.01,116.49;39.93,116.43;
#5:
>0:40.07,116.46;40.07,116.52;40.0,116.46;39.93,116.35;
#6:
>0:39.88,116.61;39.92,116.65;39.95,116.55;39.92,116.55;39.93,116.47;39.97,116.36;
#7:
>0:40.07,116.41;40.03,116.43;40.0,116.41;40.0,116.34;39.93,116.42;39.88,116.51;
#8:
>0:39.93,116.53;40.0,116.55;40.0,116.49;40.05,116.52;
#9:
>0:40.07,116.38;40.03,116.44;40.0,116.52;39.93,116.46;
#10:
>0:39.86,116.53;39.91,116.52;39.92,116.53;39.95,116.55;39.98,116.63;40.05,116.62;
