#0:
>0:40.56,116.29;40.82,116.56;
#1:
>0:40.45,116.47;39.86,116.52;
#2:
>0:38.64,116.48;35.65,116.17;38.36,115.67;39.12,115.3;37.26,115.13;33.86,114.39;
#3:
>0:34.76,116.19;36.45,116.52;38.42,115.99;39.8,116.02;
#4:
>0:30.89,115.65;31.76,115.1;31.94,114.83;31.27,114.7;
#5:
>0:40.82,116.49;39.93,116.54;
#6:
>0:40.5,116.35;40.57,116.31;
#7:
>0:40.94,116.31;39.92,116.65;
#8:
>0:33.68,116.12;33.0,116.64;36.17,115.94;
#9:
>0:33.37,115.19;32.81,115.42;
#10:
>0:34.9,115.13;36.15,115.69;
#11:
>0:40.9,116.34;39.66,116.38;
#12:
>0:40.06,116.43;40.49,116.4;
#13:
>0:39.96,115.67;38.09,115.29;36.16,115.73;34.95,115.96;32.63,116.49;31.16,116.29;
#14:
>0:31.02,114.58;33.14,114.73;34.13,115.43;32.22,115.24;32.65,116.25;
#15:
>0:37.4,114.32;37.13,114.5;
#16:
>0:32.9,116.07;34.15,116.32;
#17:
>0:40.52,116.33;39.73,116.64;
#18:
>0:35.38,116.43;35.45,116.23;37.15,115.77;37.19,115.38;
#19:
>0:40.37,116.33;40.83,116.52;
#20:
>0:36.34,114.75;37.69,114.8;39.03,115.67;
#21:
>0:34.31,115.46;35.71,115.73;
#22:
>0:39.59,116.34;41.14,116.43;
#23:
>0:39.72,116.23;38.1,115.63;37.05,115.79;
#24:
>0:32.07,116.21;32.88,116.3;33.97,116.63;35.55,115.59;
#25:
>0:41.17,116.53;41.13,116.54;
#26:
>0:40.77,116.62;40.81,116.49;
#27:
>0:40.96,116.66;41.07,116.66;
#28:
>0:40.49,116.45;40.37,116.42;
#29:
>0:39.98,116.56;40.54,116.49;
#30:
>0:40.3,116.36;39.93,116.54;
#31:
>0:41.05,116.56;40.51,116.67;
#32:
>0:40.58,116.54;40.89,116.57;
#33:
>0:39.65,116.3;39.58,116.34;
#34:
>0:40.69,116.65;39.55,116.29;
#35:
>0:40.89,116.29;40.5,116.43;
#36:
>0:37.59,115.37;35.82,115.01;34.33,115.46;
#37:
>0:31.02,114.94;33.24,115.28;34.65,115.51;33.99,116.06;38.03,116.4;
#38:
>0:40.03,116.34;39.89,115.96;
#39:
>0:40.4,116.45;40.11,116.55;
#40:
>0:39.78,116.35;41.15,116.59;
#41:
>0:39.55,116.01;37.11,115.52;37.45,115.43;
#42:
>0:39.96,116.65;40.99,116.31;
#43:
>0:40.05,116.66;39.52,116.13;38.82,115.52;38.73,115.12;38.9,114.78;40.22,114.62;
#44:
>0:33.83,114.73;34.44,115.21;
#45:
>0:39.8,116.28;41.09,116.59;
#46:
>0:40.06,116.34;39.93,116.45;
#47:
>0:40.81,116.4;41.01,116.42;
#48:
>0:41.06,116.48;40.02,116.43;
#49:
>0:40.46,116.28;40.32,116.54;
#50:
>0:40.45,116.28;41.07,116.45;
#51:
>0:40.7,116.65;40.51,116.51;
#52:
>0:32.04,115.79;33.61,115.72;32.19,115.21;36.81,115.12;
#53:
>0:39.71,115.53;37.47,115.28;36.12,114.91;34.18,114.41;33.67,114.42;32.05,114.68;
#54:
>0:39.71,116.63;39.83,116.57;
#55:
>0:40.13,116.41;40.8,116.45;
#56:
>0:38.64,116.56;39.67,115.96;39.11,115.62;40.14,115.36;40.18,114.96;40.32,114.67;
#57:
>0:30.76,115.08;32.59,115.44;34.67,115.82;34.07,116.16;38.53,116.29;
#58:
>0:39.9,116.34;40.42,116.54;
#59:
>0:40.59,116.34;40.12,116.36;
#60:
>0:37.91,114.82;37.91,115.17;
#61:
>0:32.9,115.95;34.85,115.71;35.67,115.48;
#62:
>0:31.27,115.83;33.22,115.63;33.25,115.46;34.25,115.41;37.66,115.33;
#63:
>0:36.54,115.22;38.7,115.03;37.85,114.45;
#64:
>0:32.99,115.14;34.23,114.71;36.64,114.6;38.52,114.69;39.11,114.35;
#65:
>0:40.74,116.52;40.84,116.36;
#66:
>0:39.66,116.63;40.4,116.28;
#67:
>0:40.63,116.31;40.27,116.38;
#68:
>0:40.68,116.48;41.14,116.3;
#69:
>0:36.65,115.57;37.87,115.37;39.9,114.94;39.12,114.66;
#70:
>0:32.72,114.65;33.62,114.7;34.12,115.37;35.61,114.9;40.33,115.57;
#71:
>0:34.57,115.28;36.55,115.88;
#72:
>0:32.62,116.11;34.18,116.39;36.57,115.51;
#73:
>0:39.79,116.63;39.97,116.56;
#74:
>0:33.2,114.43;32.13,114.99;31.05,115.21;32.4,115.37;33.14,116.19;
#75:
>0:31.63,114.98;31.67,115.47;30.99,115.83;31.3,116.15;
