#0:
>0:39.98,118.32;39.98,118.17;
#1:
>0:39.89,116.73;39.87,117.27;39.81,117.44;39.77,118.57;
#2:
>0:40.01,116.91;39.96,117.71;39.9,117.33;39.88,117.36;39.83,117.96;39.77,119.0;
#3:
>0:39.96,119.58;39.85,119.31;39.89,118.86;39.86,118.21;39.87,117.45;39.87,116.58;
#4:
>0:39.96,118.14;39.96,119.47;39.88,119.31;39.81,119.25;
#5:
>0:39.87,119.26;39.81,119.05;39.88,119.01;39.81,117.66;
#6:
>0:39.86,116.2;39.81,117.13;39.8,117.4;39.78,118.13;
#7:
>0:39.91,117.86;39.88,116.86;39.82,117.06;39.8,117.35;
