#0:
>0:39.9,99.5;39.37,98.54;38.63,91.53;
#1:
>0:30.7,103.38;31.87,100.21;34.83,104.81;34.93,101.27;36.78,96.64;
#2:
>0:29.84,114.59;30.6,112.66;30.91,103.88;
#3:
>0:34.39,112.69;35.5,112.63;37.52,106.36;
#4:
>0:33.3,99.62;32.48,100.76;
#5:
>0:38.35,112.88;39.06,110.97;37.79,111.64;39.98,101.22;
#6:
>0:33.68,105.26;31.85,102.08;29.7,106.73;
#7:
>0:29.66,115.26;32.47,109.08;34.42,105.15;
#8:
>0:36.02,98.39;35.57,103.57;31.78,102.09;
#9:
>0:32.6,107.66;33.22,99.88;35.57,96.75;37.44,92.38;
