#0:
>0:40.06,116.31;40.03,116.3;40.02,116.3;40.01,116.3;39.99,116.31;
#1:
>0:40.01,116.33;40.01,116.33;40.0,116.32;40.02,116.31;40.02,116.3;
#2:
>0:39.98,116.3;40.01,116.31;40.0,116.32;40.01,116.31;40.06,116.3;
#3:
>0:40.06,116.32;40.06,116.32;
#4:
>0:40.0,116.32;40.01,116.32;40.03,116.32;40.06,116.33;40.07,116.33;
#5:
>0:40.07,116.32;40.06,116.32;40.03,116.33;40.02,116.33;40.01,116.32;
#6:
>0:40.0,116.33;40.02,116.33;
#7:
>0:39.98,116.3;39.99,116.31;40.0,116.32;40.02,116.31;40.05,116.3;
