#0:
>0:39.44,115.94;39.65,116.58;39.55,116.7;
#1:
>0:39.45,116.35;39.43,116.62;39.67,116.54;39.96,116.01;
#2:
>0:39.17,116.47;39.35,116.05;39.45,115.44;39.64,115.67;39.8,115.67;
#3:
>0:39.26,116.64;39.53,116.77;39.55,116.51;39.58,116.93;39.95,117.09;
#4:
>0:40.1,116.69;39.71,116.81;39.62,116.91;39.52,117.03;39.46,117.32;
#5:
>0:39.53,117.03;39.43,117.37;39.14,116.57;39.31,116.14;39.34,115.71;
#6:
>0:39.38,117.28;39.27,116.67;39.46,116.53;39.75,116.25;
#7:
>0:39.57,116.73;39.45,116.32;39.37,115.86;39.13,116.69;
#8:
>0:39.3,116.72;39.3,116.46;39.45,116.12;39.78,116.56;
#9:
>0:39.27,115.55;39.51,115.8;39.57,116.36;39.64,116.82;
#10:
>0:39.14,115.62;39.19,116.07;39.24,116.49;39.45,116.87;
