#0:
>0:40.03,116.33;40.01,116.34;
#1:
>0:39.94,116.32;39.95,116.32;39.97,116.33;40.0,116.32;
#2:
>0:39.93,116.33;39.95,116.33;39.97,116.33;39.99,116.33;40.02,116.33;40.03,116.33;
#3:
>0:39.93,116.32;39.93,116.32;
#4:
>0:39.93,116.32;39.93,116.33;
#5:
>0:40.01,116.33;40.0,116.33;39.97,116.33;
#6:
>0:39.93,116.34;39.95,116.33;39.97,116.33;
#7:
>0:39.93,116.32;39.93,116.32;39.94,116.33;39.96,116.33;
#8:
>0:39.96,116.32;39.94,116.32;39.95,116.32;
#9:
>0:40.01,116.34;39.99,116.33;39.98,116.33;40.0,116.33;
#10:
>0:40.02,116.32;40.0,116.32;39.97,116.32;
#11:
>0:39.99,116.33;40.02,116.34;40.03,116.34;
#12:
>0:39.98,116.33;40.0,116.32;40.01,116.32;40.01,116.33;39.99,116.33;39.98,116.32;39.97,116.31;39.93,116.31;
#13:
>0:39.98,116.33;39.97,116.33;
#14:
>0:40.0,116.32;39.99,116.32;40.0,116.33;
#15:
>0:39.94,116.32;39.94,116.33;39.97,116.33;
