#0:
>0:40.11,116.61;40.09,116.69;
#1:
>0:40.04,116.5;40.05,116.63;40.11,116.78;40.08,116.99;
#2:
>0:40.1,117.01;40.08,117.09;40.02,116.81;40.06,116.7;
#3:
>0:40.08,116.7;40.08,116.82;40.08,116.91;40.1,117.02;
#4:
>0:39.98,116.52;39.98,116.36;40.03,116.46;40.09,116.8;
#5:
>0:40.13,116.65;40.1,116.5;40.11,116.38;
#6:
>0:40.17,116.85;40.13,116.62;40.09,116.54;40.07,116.68;40.06,116.77;39.97,116.8;
#7:
>0:40.03,116.88;40.04,116.9;39.96,116.78;
#8:
>0:40.11,117.02;40.08,117.01;40.05,116.72;39.99,116.84;
#9:
>0:40.09,117.06;40.07,117.02;40.03,117.09;39.99,117.1;
#10:
>0:40.0,116.59;40.04,116.58;40.08,116.59;40.06,116.65;40.15,116.65;
#11:
>0:40.12,116.75;40.15,116.67;40.1,116.55;40.04,116.58;
