#0:
>0:39.98,116.84;40.01,116.98;40.05,116.88;40.09,117.07;40.14,117.05;
#1:
>0:40.03,117.06;40.07,116.86;40.11,116.74;40.07,116.7;40.09,116.53;
#2:
>0:40.13,117.01;40.09,116.98;40.13,117.01;40.13,116.9;40.14,117.04;40.15,116.88;40.13,116.76;40.11,116.94;40.13,117.04;40.13,116.86;40.12,116.82;40.1,116.91;40.14,116.99;40.14,116.95;40.14,117.02;40.14,116.97;40.15,116.75;40.13,117.06;
#3:
>0:40.01,117.0;40.01,116.96;39.95,116.98;39.96,116.84;39.98,116.51;
#4:
>0:39.94,116.99;40.0,117.02;40.03,117.03;40.05,117.11;40.1,117.08;40.15,117.08;
#5:
>0:40.11,116.77;40.06,116.71;40.05,116.51;40.01,116.54;39.97,116.37;
#6:
>0:40.11,116.85;40.05,116.86;40.06,116.75;40.03,116.65;39.95,116.32;
#7:
>0:40.02,116.48;40.06,116.69;40.1,116.72;40.15,116.82;40.13,117.0;
#8:
>0:40.04,117.06;40.07,116.89;
#9:
>0:39.99,116.73;40.02,116.98;40.07,116.87;40.1,117.06;40.12,117.05;
#10:
>0:40.09,116.75;40.07,116.62;40.05,116.64;40.02,116.56;39.96,116.38;
#11:
>0:40.08,116.33;40.04,116.47;40.05,116.64;
