#0:
>0:39.9,116.7;39.87,117.38;
#1:
>0:39.57,116.64;39.72,116.87;39.82,116.82;39.68,117.78;
#2:
>0:39.93,117.75;39.85,118.05;39.77,118.23;39.58,117.58;
#3:
>0:39.41,116.88;39.41,117.11;39.45,116.75;39.69,116.93;
#4:
>0:39.5,116.89;39.59,116.57;39.68,116.84;39.84,117.49;
#5:
>0:39.46,116.85;39.56,116.67;39.74,117.04;39.84,116.68;
#6:
>0:39.6,116.67;39.76,116.85;39.79,116.83;39.85,117.86;
#7:
>0:39.68,118.3;39.76,118.28;39.61,118.27;39.6,117.5;39.72,117.21;39.55,116.55;
#8:
>0:39.55,117.33;39.5,117.69;39.67,117.54;
#9:
>0:39.87,118.19;39.7,118.1;39.62,117.53;39.67,117.27;39.53,116.43;
#10:
>0:39.63,118.14;39.47,118.24;39.36,117.63;
